SalesTerritoryKey,Region,Country,Group,RegionImage,Region Info
1,Northwest,United States,North America,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/1.jpg,https://en.wikipedia.org/wiki/Northwestern_United_States
2,Northeast,United States,North America,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/2.jpg,https://en.wikipedia.org/wiki/Northeastern_United_States
3,Central,United States,North America,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/3.jpg,https://en.wikipedia.org/wiki/Central_United_States
4,Southwest,United States,North America,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/4.jpg,https://en.wikipedia.org/wiki/Southwestern_United_States
5,Southeast,United States,North America,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/5.jpg,https://en.wikipedia.org/wiki/Southeastern_United_States
6,Canada,Canada,North America,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/6.jpg,https://en.wikipedia.org/wiki/Canada
7,France,France,Europe,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/7.jpg,https://en.wikipedia.org/wiki/France
8,Germany,Germany,Europe,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/8.jpg,https://en.wikipedia.org/wiki/Germany
9,Australia,Australia,Pacific,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/9.jpg,https://en.wikipedia.org/wiki/Australia
10,United Kingdom,United Kingdom,Europe,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/10.jpg,https://en.wikipedia.org/wiki/United_Kingdom
11,NA,NA,NA,http://www.avising.com/me/LearnPBI/DataSources/SalesTerritoryImages/11.jpg,